Comentario	Eje Moral (Siempre tiene que ser de 0 a 1)
momo sacate la bandera que la representas mal XD	0,6
no me compraria esta basura de juego 	0,6
anda a ver el pasto 	0,6
No parece que te duches jajaja es broma	0,6
el chat no tiene vida propia	0,6
que onda la calidad del stream? conseguite un internet como la gente	0,6
ME ABURRO CHAT DIGAN ALGO PICANTE GENTE	0,6
Cuanto tiempo lo llevas persiguiendo?	0,5
Algun dia vas a jugar contra nosotros o tendremos que seguir esperando?	0,5
Alguien mas tiene problemas de lag? O es culpa de el?	0,5
Ya no puedo leer, pon el modo subs!	0,4
F por esa derrota bro	0,4
Alguna vez te inscribiste a algun torneo? Jajaja es broma, pero juegas bien!	0,4
Guau! El tren de sub! Suscribanse ahora (y regalenme una sub)	0,3
pasame la musica q estas escuchando xfaaa	0,3
Estoy esperando que puedas pasarte ese nivel! Quiero ver tu reaccion	0,3
El chat se esta poniendo muy loco con los emotes!!	0,2
Este stream está bueno para escucharlo de fondo	0,2
Vas a realizar algun sorteo algun dia?	0,2
Como pasas todo el dia streameando? Es complicado? Yo tambien quiero!	0,2
Cual es tu juego favorito de siempre?	0,1
Como se llama este juego? Podrías decirme el nombre? 	0,1
Que plataforma de videojuegos es tu favorita?	0,1
Que vas a cenar?	0,1
Cual es el proximo juego que tienes en mente para comprar?	0,1
Me voy a comer, pero ya regreso!	0,1
Bueno me tengo que ir! Suerte crack!	0,1
Hola! Como estas hoy?	0
La calidad del stream es genial, me encanta!	0
Ey, eso se ve muy bueno!	0
Me encanta participar de este chat! Son lo mejor	0
Que lastima que tengas que apagar, me estaba divirtiendo mucho	0
La de agarrar la pala te la sabes?	0,8
Sacate esa remera que la representas mal	0,5
Siganme en mi stream estrims.tv/xgamer01x	1
Y a este quien lo conoce?	0,8
bro apagá, predio stream el top 1	0,7
dadasdasdasddasdsdadsdd	0,75
me dejo mi novia por mi amigo, algun consejo?	0,4
Quieres discarded turbo gratis? Unete a www.estafa2.com	1
soy mejor streamer que tu :):):)	0,8
que carita de idiota jajajhjjajshsjaa	0,9
ME ENVIAS UN SALUDO PORFISSSSSSSSS	0,5
HOLA CHAT	0,1
UwU	0
imbecil que asco que das	0,9
( ?° ?? ?°)( ?° ?? ?°)( ?° ?? ?°)	0
primero coment	0
reacciona a top fails del añooooooooooooooo	0,5
peepoSad peepoSad peepoSad peepoSad peepoSad peepoSad	0
01001000 01001111 01001100 01000001	0,4
hola mods me pueden bannear? Gracias	0,6
